Boss Defense Range,Percentage
Less than or equal to 0,6.260000000000001
Less than or equal to 10,13.58
Less than or equal to 20,20.64
Less than or equal to 30,29.060000000000002
Less than or equal to 40,40.37
Less than or equal to 50,51.64
Less than or equal to 60,63.1
Less than or equal to 70,74.81
Less than or equal to 80,79.05
Less than or equal to 90,83.7
Less than or equal to 100,88.71
Less than or equal to 110,93.25
Less than or equal to 120,94.19999999999999
Less than or equal to 130,95.14
Less than or equal to 140,95.96000000000001
Less than or equal to 150,97.0
Less than or equal to 160,98.06
Less than or equal to 170,98.82
Less than or equal to 180,98.92
Less than or equal to 190,99.06
Less than or equal to 200,99.24
