Boss Defense Range,Percentage
Less than or equal to 0,6.260000000000001
Less than or equal to 10,13.969999999999999
Less than or equal to 20,21.72
Less than or equal to 30,29.29
Less than or equal to 40,40.699999999999996
Less than or equal to 50,52.239999999999995
Less than or equal to 60,63.3
Less than or equal to 70,74.72
Less than or equal to 80,78.7
Less than or equal to 90,82.98
Less than or equal to 100,88.06
Less than or equal to 110,92.63
Less than or equal to 120,93.67999999999999
Less than or equal to 130,94.81
Less than or equal to 140,95.89
Less than or equal to 150,96.85000000000001
Less than or equal to 160,98.02
Less than or equal to 170,98.79
Less than or equal to 180,98.9
Less than or equal to 190,99.02
Less than or equal to 200,99.14
