Boss Defense Range,Percentage
Less than or equal to 0,78.93
Less than or equal to 10,88.3
Less than or equal to 20,92.75999999999999
Less than or equal to 30,94.63000000000001
Less than or equal to 40,95.48
Less than or equal to 50,96.28
Less than or equal to 60,97.08
Less than or equal to 70,97.88
Less than or equal to 80,98.52
Less than or equal to 90,98.52
Less than or equal to 100,98.52
Less than or equal to 110,98.52
Less than or equal to 120,98.52
Less than or equal to 130,98.52
Less than or equal to 140,98.52
Less than or equal to 150,98.52
Less than or equal to 160,98.52
Less than or equal to 170,98.52
Less than or equal to 180,98.6
Less than or equal to 190,98.76
Less than or equal to 200,98.95
