Boss Defense Range,Percentage
Less than or equal to 0,5.8500000000000005
Less than or equal to 10,12.809999999999999
Less than or equal to 20,20.0
Less than or equal to 30,27.83
Less than or equal to 40,38.629999999999995
Less than or equal to 50,49.29
Less than or equal to 60,60.660000000000004
Less than or equal to 70,73.14
Less than or equal to 80,77.24
Less than or equal to 90,81.92
Less than or equal to 100,87.16000000000001
Less than or equal to 110,92.08
Less than or equal to 120,93.15
Less than or equal to 130,94.17
Less than or equal to 140,95.13000000000001
Less than or equal to 150,96.35000000000001
Less than or equal to 160,97.72
Less than or equal to 170,98.76
Less than or equal to 180,98.9
Less than or equal to 190,99.05000000000001
Less than or equal to 200,99.17
