Boss Defense Range,Percentage
Less than or equal to 0,77.4
Less than or equal to 10,88.01
Less than or equal to 20,91.83
Less than or equal to 30,93.92
Less than or equal to 40,94.89999999999999
Less than or equal to 50,95.71
Less than or equal to 60,96.71
Less than or equal to 70,97.7
Less than or equal to 80,98.47
Less than or equal to 90,98.47
Less than or equal to 100,98.47
Less than or equal to 110,98.47
Less than or equal to 120,98.47
Less than or equal to 130,98.47
Less than or equal to 140,98.47
Less than or equal to 150,98.47
Less than or equal to 160,98.47
Less than or equal to 170,98.47
Less than or equal to 180,98.61999999999999
Less than or equal to 190,98.8
Less than or equal to 200,98.96000000000001
